"Party","District","Member","Counties Represented"
"D","5","Howard J. Hunter, III","Gates,                         Hertford,                         Pasquotank"
"R","70","Pat B. Hurley","Randolph"
"D","63","Ricky Hurtado","Alamance"
"R","17","Frank Iler","Brunswick"
"D","56","Verla Insko                          (Resigned 5/31/22)","Orange"
"D","39","Darren G. Jackson                          (Resigned 1/6/21)","Wake"
"D","40","Joe John","Wake"
"R","113","Jake Johnson","Henderson,                         Polk,                         Transylvania"
"D","38","Abe Jones","Wake"
"R","46","Brenden H. Jones","Columbus,                         Robeson"
"R","79","Keith Kidwell","Beaufort,                         Craven"
"R","75","Donny Lambeth","Forsyth"
"R","109","Donnie Loftis                         (Appointed 10/27/21)","Gaston"
"D","104","Brandon Lofton","Mecklenburg"
"D","101","Carolyn G. Logan","Mecklenburg"
"D","42","Marvin W. Lucas","Cumberland"
"D","99","Nasif Majeed","Mecklenburg"
"D","34","Grier Martin                          (Resigned 7/8/22)","Wake"
"R","13","Pat McElraft","Carteret,                         Jones"
"R","84","Jeffrey C. McNeely","Iredell"
"R","78","Allen McNeill","Moore,                         Randolph"
"D","50","Graig R. Meyer","Caswell,                         Orange"
"R","19","Charles W. Miller","Brunswick,                         New Hanover"
"R","95","Grey Mills","Iredell"
"R","117","Timothy D. Moffitt","Henderson"
"R","111","Tim Moore","Cleveland"
"D","30","Marcia Morey","Durham"
"R","66","Ben T. Moss, Jr.","Montgomery,                         Richmond,                         Stanly"
"D","34","Jack Nichols                         (Appointed 7/15/22)","Wake"
"R","37","Erin Paré","Wake"
"R","53","Howard Penny, Jr.","Harnett"
"R","93","Ray Pickett","Ashe,                         Watauga"
"D","48","Garland E. Pierce","Hoke,                         Scotland"
"R","83","Larry G. Pittman","Cabarrus"
"R","118","Mark Pless","Haywood,                         Madison,                         Yancey"
"R","81","Larry W. Potts","Davidson"
"R","65","A. Reece Pyrtle, Jr.                         (Appointed 8/11/21)","Rockingham"
"D","58","Amos L. Quick, III","Guilford"
"D","54","Robert T. Reives, II","Chatham,                         Durham"
"D","44","William O. Richardson","Cumberland"
"R","64","Dennis Riddell","Alamance"
"D","39","James Roberson                         (Appointed 1/11/21)","Wake"
"R","112","David Rogers","Burke,                         Rutherford"
"D","114","Caleb Rudow                         (Appointed 2/1/22)","Buncombe"
"R","97","Jason Saine","Lincoln"
"R","67","Wayne Sasser","Cabarrus,                         Rowan,                         Stanly"
"R","51","John Sauls","Harnett,                         Lee"
"R","89","Mitchell S. Setzer","Catawba"
"R","15","Phil Shepard","Onslow"
"R","16","Carson Smith","Columbus,                         Pender"
"D","8","Kandie D. Smith","Pitt"
"D","21","Raymond E. Smith, Jr.","Sampson,                         Wayne"
"R","90","Sarah Stevens","Alleghany,                         Surry,                         Wilkes"
